Lost Messages;1133;1280;1086;1010;1214;1338;1107;1044;1105;1118;1014;1057;967;1196;1210;1181;1141;1125;1042;1162
Median Latency (ms);485;485;485;485;485;485;485;485;485;485;485;485;485;485;480;485;480;485;480;485
Worst Latency (ms);4910;4905;4560;4755;5745;5080;4795;4775;4800;5630;4695;4850;4715;5740;5185;4755;5520;4770;4305;4770
Best Latency (1%) (ms);10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Expected Messages;1326553;1330499;1328828;1328592;1329808;1328809;1329583;1333953;1331137;1328346;1329735;1331344;1329811;1330834;1329330;1329713;1329979;1328327;1331649;1329726
Average Latency;539;539;538;539;539;540;539;540;539;538;537;538;539;540;537;538;539;539;537;539
Received Messages;1325917;1329830;1328262;1327948;1329192;1328058;1328982;1333352;1330540;1327716;1329149;1330697;1329206;1330075;1328633;1328971;1329265;1327657;1331099;1329081
Standard Deviation (ms);408,9290892074077;408,4678689933885;406,4664807828562;408,4323689425215;409,7560249709576;409,74260212967846;409,8414327517412;409,83533278623014;408,2866639996952;406,9139958271281;406,80462140934435;407,50582817918075;407,0503654340578;410,05609372377336;407,272635957782;407,9644592363408;409,0232267243512;408,648993636348;406,8341185298991;407,9742638941824
Messages (CSMA);106157;106267;105447;106468;105804;106213;106913;105778;106392;106132;105496;106416;105601;105305;106151;106091;105975;105690;106777;105726
Collisions;242987;242979;242615;242679;243203;243026;242874;243219;243292;242999;243068;242887;242921;243077;242977;243151;242848;243029;243120;243275
Best Latency (ms);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Average Latency (middle 98%) (ms);539;539;538;539;539;540;539;540;539;538;537;538;539;540;537;538;539;539;537;539
Worst Latency (1%) (ms);1875;1870;1870;1875;1875;1875;1875;1875;1875;1870;1875;1870;1870;1875;1875;1875;1875;1875;1870;1875
